method,cyber_mcq_acc,cyber_mcq_gib,cyber_mcq_A,cyber_mcq_B,cyber_mcq_C,cyber_mcq_D,cyber_mcq_logit_auc
Base,0.3442,0.2378,0.5434,0.3529,0.2547,0.2082,0.6852
GradDiff,0.2246,0.5594,0.2254,0.2712,0.2704,0.1325,0.6764
RMU,0.3481,0.2339,0.5636,0.3235,0.2767,0.2082,0.6844
RMU-LAT,0.352,0.2339,0.6127,0.3137,0.2704,0.1861,0.6849
RepNoise,0.2712,0.4864,0.396,0.3301,0.1698,0.1798,0.658
ELM,0.1197,0.6861,0.2052,0.1307,0.0755,0.0599,0.5531
RR,0.3465,0.2401,0.5347,0.3497,0.2516,0.2334,0.6838
TAR,0.0,1.0,0.0,0.0,0.0,0.0,0.641
PB&J,0.3497,0.2362,0.5347,0.366,0.261,0.2208,0.6831
Llama3-8B,0.3621,0.2455,0.422,0.3431,0.4182,0.2587,0.6682
