method,bio_mcq_acc,bio_acc_a,bio_acc_b,bio_acc_c,bio_acc_d,bio_gibberish,cyber_mcq_acc,cyber_acc_a,cyber_acc_b,cyber_acc_c,cyber_acc_d,cyber_gibberish
Base,0.6789,0.8503,0.6204,0.5862,0.6528,0.0052,0.3442,0.5434,0.3529,0.2547,0.2082,0.2378
GradDiff,0.0227,0.0272,0.0146,0.0207,0.0278,0.9442,0.2246,0.2254,0.2712,0.2704,0.1325,0.5594
RMU,0.1606,0.2313,0.0292,0.0621,0.3125,0.4433,0.3481,0.5636,0.3235,0.2767,0.2082,0.2339
RMU-LAT,0.3002,0.3265,0.1387,0.1172,0.6111,0.1449,0.352,0.6127,0.3137,0.2704,0.1861,0.2339
RepNoise,0.0122,0.034,0.0,0.0,0.0139,0.9791,0.2712,0.396,0.3301,0.1698,0.1798,0.4864
ELM,0.2932,0.7415,0.1971,0.0345,0.1875,0.0471,0.1197,0.2052,0.1307,0.0755,0.0599,0.6861
RR,0.1972,0.3333,0.2263,0.1034,0.125,0.5812,0.3465,0.5347,0.3497,0.2516,0.2334,0.2401
TAR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
PB&J,0.1693,0.2857,0.1314,0.0966,0.1597,0.63,0.3497,0.5347,0.366,0.261,0.2208,0.2362
Llama3-8B,0.6684,0.6735,0.635,0.6621,0.7014,0.0,0.3621,0.422,0.3431,0.4182,0.2587,0.2455
Llama-3-70B,0.8133,0.9116,0.7956,0.8345,0.7083,0.0017,0.4343,0.5511,0.4576,0.4303,0.2889,0.2365
